Source,Winner,Winner Score,Loser,Loser Score,GameID,Away Code,Away Short Name,Away Full Name,Home Code,Home Short Name,Home Full Name,AwayScore,HomeScore
BleacherReport,Saints,28,Panthers,16,NOCAR,NO,Saints,New Orleans Saints,CAR,Panthers,Carolina Panthers,28,16
BillBender,Saints,23,Panthers,16,NOCAR,NO,Saints,New Orleans Saints,CAR,Panthers,Carolina Panthers,23,16
DataSkrive,Saints,29,Panthers,20,NOCAR,NO,Saints,New Orleans Saints,CAR,Panthers,Carolina Panthers,29,20
MarcusMosher,Saints,24,Panthers,16,NOCAR,NO,Saints,New Orleans Saints,CAR,Panthers,Carolina Panthers,24,16
Sportsnaut,Saints,20,Panthers,14,NOCAR,NO,Saints,New Orleans Saints,CAR,Panthers,Carolina Panthers,20,14
VinnieIyer,Saints,20,Panthers,17,NOCAR,NO,Saints,New Orleans Saints,CAR,Panthers,Carolina Panthers,20,17
Dimers,SAINTS,25,PANTHERS,18,NOCAR,NO,Saints,New Orleans Saints,CAR,Panthers,Carolina Panthers,25,18
LorenzoReyes,Saints,27,Panthers,10,NOCAR,NO,Saints,New Orleans Saints,CAR,Panthers,Carolina Panthers,27,10
TylerDragon,Saints,25,Panthers,17,NOCAR,NO,Saints,New Orleans Saints,CAR,Panthers,Carolina Panthers,25,17
RichardMorin,Saints,14,Panthers,9,NOCAR,NO,Saints,New Orleans Saints,CAR,Panthers,Carolina Panthers,14,9
JordanMendoza,Saints,22,Panthers,12,NOCAR,NO,Saints,New Orleans Saints,CAR,Panthers,Carolina Panthers,22,12
JohnBreech,Saints,27,Panthers,17,NOCAR,NO,Saints,New Orleans Saints,CAR,Panthers,Carolina Panthers,27,17
TerrySullivan,Chiefs,30,Buccaneers,20,TBKC,TB,Buccaneers,Tampa Bay Buccaneers,KC,Chiefs,Kansas City Chiefs,20,30
PetePrisco,Chiefs,29,Bucs,17,TBKC,TB,Buccaneers,Tampa Bay Buccaneers,KC,Chiefs,Kansas City Chiefs,17,29
BleacherReport,Chiefs,24,Buccaneers,19,TBKC,TB,Buccaneers,Tampa Bay Buccaneers,KC,Chiefs,Kansas City Chiefs,19,24
BillBender,Chiefs,30,Buccaneers,23,TBKC,TB,Buccaneers,Tampa Bay Buccaneers,KC,Chiefs,Kansas City Chiefs,23,30
DataSkrive,Chiefs,27,Buccaneers,22,TBKC,TB,Buccaneers,Tampa Bay Buccaneers,KC,Chiefs,Kansas City Chiefs,22,27
MarcusMosher,Chiefs,26,Buccaneers,20,TBKC,TB,Buccaneers,Tampa Bay Buccaneers,KC,Chiefs,Kansas City Chiefs,20,26
Sportsnaut,Chiefs,23,Buccaneers,14,TBKC,TB,Buccaneers,Tampa Bay Buccaneers,KC,Chiefs,Kansas City Chiefs,14,23
VinnieIyer,Chiefs,27,Buccaneers,10,TBKC,TB,Buccaneers,Tampa Bay Buccaneers,KC,Chiefs,Kansas City Chiefs,10,27
LorenzoReyes,Chiefs,30,Buccaneers,23,TBKC,TB,Buccaneers,Tampa Bay Buccaneers,KC,Chiefs,Kansas City Chiefs,23,30
TylerDragon,Chiefs,24,Buccaneers,17,TBKC,TB,Buccaneers,Tampa Bay Buccaneers,KC,Chiefs,Kansas City Chiefs,17,24
RichardMorin,Chiefs,31,Buccaneers,19,TBKC,TB,Buccaneers,Tampa Bay Buccaneers,KC,Chiefs,Kansas City Chiefs,19,31
JordanMendoza,Chiefs,25,Buccaneers,20,TBKC,TB,Buccaneers,Tampa Bay Buccaneers,KC,Chiefs,Kansas City Chiefs,20,25
JohnBreech,Chiefs,27,Buccaneers,20,TBKC,TB,Buccaneers,Tampa Bay Buccaneers,KC,Chiefs,Kansas City Chiefs,20,27
TerrySullivan,Commanders,27,Giants,17,WASNYG,WAS,Commanders,Washington Commanders,NYG,Giants,New York Giants,27,17
PetePrisco,Commanders,30,Giants,17,WASNYG,WAS,Commanders,Washington Commanders,NYG,Giants,New York Giants,30,17
BleacherReport,Commanders,27,Giants,17,WASNYG,WAS,Commanders,Washington Commanders,NYG,Giants,New York Giants,27,17
BillBender,Commanders,24,Giants,20,WASNYG,WAS,Commanders,Washington Commanders,NYG,Giants,New York Giants,24,20
DataSkrive,Commanders,28,Giants,16,WASNYG,WAS,Commanders,Washington Commanders,NYG,Giants,New York Giants,28,16
MarcusMosher,Commanders,30,Giants,17,WASNYG,WAS,Commanders,Washington Commanders,NYG,Giants,New York Giants,30,17
Sportsnaut,Commanders,31,Giants,20,WASNYG,WAS,Commanders,Washington Commanders,NYG,Giants,New York Giants,31,20
VinnieIyer,Commanders,23,Giants,16,WASNYG,WAS,Commanders,Washington Commanders,NYG,Giants,New York Giants,23,16
