Source,Winner,Winner Score,Loser,Loser Score,GameID,GameIDInt,Away Code,Away Short Name,Away Full Name,Home Code,Home Short Name,Home Full Name,AwayScore,HomeScore,Spread,Total
GennaroNFL,Buccaneers,22,Jets,17,NYJTB,4765710,NYJ,Jets,New York Jets,TB,Buccaneers,Tampa Bay Buccaneers,17,22,-6.5,43.5
GennaroNFL,Commanders,17,Raiders,13,LVWAS,4765711,LV,Raiders,Las Vegas Raiders,WAS,Commanders,Washington Commanders,13,17,-3.5,44
GennaroNFL,Rams,26,Eagles,23,LARPHI,4765712,LAR,Rams,Los Angeles Rams,PHI,Eagles,Philadelphia Eagles,26,23,-3,44.5
GennaroNFL,Falcons,27,Panthers,13,ATLCAR,4765713,ATL,Falcons,Atlanta Falcons,CAR,Panthers,Carolina Panthers,27,13,5.5,44
GennaroNFL,Vikings,26,Bengals,20,CINMIN,4765714,CIN,Bengals,Cincinnati Bengals,MIN,Vikings,Minnesota Vikings,20,26,-3,42
GennaroNFL,Texans,21,Jaguars,19,HOUJAC,4765715,HOU,Texans,Houston Texans,JAC,Jaguars,Jacksonville Jaguars,21,19,-1.5,44
GennaroNFL,Packers,23,Browns,17,GBCLE,4765716,GB,Packers,Green Bay Packers,CLE,Browns,Cleveland Browns,23,17,7,41.5
GennaroNFL,Broncos,21,Chargers,20,DENLAC,4765717,DEN,Broncos,Denver Broncos,LAC,L.A. Chargers,Los Angeles Chargers,21,20,-3,46
GennaroNFL,Seahawks,26,Saints,17,NOSEA,4765718,NO,Saints,New Orleans Saints,SEA,Seahawks,Seattle Seahawks,17,26,-7,42
GennaroNFL,49ers,24,Cardinals,20,ARISF,4765719,ARI,Cardinals,Arizona Cardinals,SF,49ers,San Francisco 49ers,20,24,-3,44.5
GennaroNFL,Bears,31,Cowboys,30,DALCHI,4765720,DAL,Cowboys,Dallas Cowboys,CHI,Bears,Chicago Bears,30,31,1,50.5
GennaroNFL,Chiefs,27,Giants,19,KCNYG,4765721,KC,Chiefs,Kansas City Chiefs,NYG,N.Y. Giants,New York Giants,27,19,6,45
GennaroNFL,Ravens,29,Lions,23,DETBAL,4765722,DET,Lions,Detroit Lions,BAL,Ravens,Baltimore Ravens,23,29,-4.5,53
